,file,class_name,cohesion
90,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGetSigninURLNoAliases,25.0%
91,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGetCredentialReport,25.0%
92,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGetSigninURL,37.5%
93,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestUpdateSamlProvider,25.0%
94,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGenerateCredentialReport,25.0%
95,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestCreateRole,40.0%
96,D:\thesis2\9 project\boto\boto\tests\unit\kinesis\test_kinesis.py,test_kinesis.TestKinesis,50.0%
97,D:\thesis2\9 project\boto\boto\tests\unit\kms\test_kms.py,test_kms.TestKinesis,33.33%
98,D:\thesis2\9 project\boto\boto\tests\unit\logs\test_layer1.py,test_layer1.TestDescribeLogs,33.33%
99,D:\thesis2\9 project\boto\boto\tests\unit\machinelearning\test_machinelearning.py,test_machinelearning.TestMachineLearning,66.67%
100,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\inventory_hostnames.py,inventory_hostnames.LookupModule,100.0%
101,D:\thesis2\9 project\boto\boto\tests\unit\manage\test_ssh.py,test_ssh.TestSSHTimeout,0.0%
102,D:\thesis2\9 project\boto\boto\tests\unit\mturk\test_connection.py,test_connection.TestMTurkConnection,25.0%
103,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_connection.py,test_connection.MyResult,0.0%
104,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_connection.py,test_connection.TestMWSConnection,15.0%
105,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test9Result,0.0%
106,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test5Result,0.0%
107,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test6Result,0.0%
108,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test9one,0.0%
109,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test2Result,0.0%
110,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test7Result,0.0%
111,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test8Result,0.0%
112,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.TestMWSResponse,3.33%
113,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test3Result,0.0%
114,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test4Result,0.0%
115,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test1Result,0.0%
116,D:\thesis2\9 project\boto\boto\tests\unit\mws\test_response.py,test_response.Test8extra,0.0%
117,D:\thesis2\9 project\boto\boto\tests\unit\provider\test_provider.py,test_provider.TestProvider,13.74%
118,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\items.py,items.LookupModule,100.0%
119,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSConnection,16.67%
120,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSLogFile,25.0%
121,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSOptionGroups,16.67%
122,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSCCreateDBInstance,25.0%
123,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSConnectionRestoreDBInstanceFromPointInTime,33.33%
124,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSOptionGroupOptions,16.67%
125,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_connection.py,test_connection.TestRDSLogFileDownload,33.33%
126,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_snapshot.py,test_snapshot.TestDeleteDBSnapshot,25.0%
127,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_snapshot.py,test_snapshot.TestCopyDBSnapshot,25.0%
128,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_snapshot.py,test_snapshot.TestRestoreDBInstanceFromDBSnapshot,25.0%
129,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_snapshot.py,test_snapshot.TestCreateDBSnapshot,25.0%
130,D:\thesis2\9 project\boto\boto\tests\unit\rds\test_snapshot.py,test_snapshot.TestDescribeDBSnapshots,25.0%
131,D:\thesis2\9 project\boto\boto\tests\unit\rds2\test_connection.py,test_connection.TestRDS2Connection,16.67%
132,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestChangeResourceRecordSetsRoute53,16.67%
133,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestGetCheckerIpRanges,25.0%
134,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestGetHostedZoneRoute53,16.67%
135,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestTruncatedGetAllRRSetsRoute53,16.67%
136,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestGetAllRRSetsRoute53,22.22%
137,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestCreateHealthCheckRoute53FQDN,16.67%
138,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestRoute53Connection,23.81%
139,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestCreateHealthCheckRoute53IpAddress,16.67%
140,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestCreateZoneRoute53,25.0%
141,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestCreatePrivateZoneRoute53,16.67%
142,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_connection.py,test_connection.TestGetZoneRoute53,25.0%
143,D:\thesis2\9 project\boto\boto\tests\unit\route53\test_zone.py,test_zone.TestZone,0.0%
144,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_bucket.py,test_bucket.TestS3Bucket,39.29%
145,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_connection.py,test_connection.TestSigV4HostError,33.33%
146,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_connection.py,test_connection.TestSignatureAlteration,25.0%
147,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_connection.py,test_connection.TestHeadBucket,40.0%
148,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_connection.py,test_connection.TestUnicodeCallingFormat,16.67%
149,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_connection.py,test_connection.TestSigV4Presigned,50.0%
150,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\lines.py,lines.LookupModule,100.0%
151,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_cors_configuration.py,test_cors_configuration.TestCORSConfiguration,0.0%
152,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_key.py,test_key.TestFileError,0.0%
153,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_key.py,test_key.TestS3Key,35.0%
154,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_key.py,test_key.TestS3KeyRetries,50.0%
155,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_key.py,test_key.CustomException,0.0%
156,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_keyfile.py,test_keyfile.KeyfileTest,83.33%
157,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_lifecycle.py,test_lifecycle.TestS3LifeCycle,10.0%
158,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_tagging.py,test_tagging.TestS3Tagging,16.67%
159,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_uri.py,test_uri.UriTest,0.0%
160,D:\thesis2\9 project\boto\boto\tests\unit\s3\test_website.py,test_website.TestS3WebsiteConfiguration,0.0%
161,D:\thesis2\9 project\boto\boto\tests\unit\ses\test_identity.py,test_identity.TestSESSetIdentityFeedbackForwardingEnabled,25.0%
162,D:\thesis2\9 project\boto\boto\tests\unit\ses\test_identity.py,test_identity.TestSESIdentity,16.67%
163,D:\thesis2\9 project\boto\boto\tests\unit\ses\test_identity.py,test_identity.TestSESSetIdentityNotificationTopic,25.0%
164,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\nested.py,nested.LookupModule,100.0%
165,D:\thesis2\9 project\boto\boto\tests\unit\sns\test_connection.py,test_connection.TestSNSConnection,31.11%
166,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_connection.py,test_connection.SQSSendBatchMessageAttributes,25.0%
167,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_connection.py,test_connection.SQSMessageAttributesParsing,25.0%
168,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_connection.py,test_connection.SQSProfileName,40.0%
169,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_connection.py,test_connection.SQSAuthParams,35.71%
170,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_connection.py,test_connection.SQSSendMessageAttributes,25.0%
171,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_message.py,test_message.DecodeExceptionRaisingMessage,0.0%
172,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_message.py,test_message.TestMHMessage,0.0%
173,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_message.py,test_message.TestEncodeMessage,0.0%
174,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_message.py,test_message.TestBigMessage,0.0%
175,D:\thesis2\9 project\boto\boto\tests\unit\sqs\test_queue.py,test_queue.TestQueue,0.0%
176,D:\thesis2\9 project\boto\boto\tests\unit\sts\test_connection.py,test_connection.TestSTSWebIdentityConnection,16.67%
177,D:\thesis2\9 project\boto\boto\tests\unit\sts\test_connection.py,test_connection.TestSTSConnection,25.0%
178,D:\thesis2\9 project\boto\boto\tests\unit\sts\test_connection.py,test_connection.TestSTSSAMLConnection,16.67%
179,D:\thesis2\9 project\boto\boto\tests\unit\sts\test_connection.py,test_connection.TestSecurityToken,25.0%
180,D:\thesis2\9 project\boto\boto\tests\unit\sts\test_credentials.py,test_credentials.STSCredentialsTest,50.0%
181,D:\thesis2\9 project\boto\boto\tests\unit\swf\test_layer1_decisions.py,test_layer1_decisions.TestDecisions,100.0%
182,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\password.py,password.LookupModule,33.33%
183,D:\thesis2\9 project\boto\boto\tests\unit\swf\test_layer2_actors.py,test_layer2_actors.TestActors,66.67%
184,D:\thesis2\9 project\boto\boto\tests\unit\swf\test_layer2_base.py,test_layer2_base.TestBase,100.0%
185,D:\thesis2\9 project\boto\boto\tests\unit\swf\test_layer2_domain.py,test_layer2_domain.TestDomain,100.0%
186,D:\thesis2\9 project\boto\boto\tests\unit\swf\test_layer2_types.py,test_layer2_types.TestTypes,0.0%
187,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestPythonizeName,0.0%
188,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestRetryURL,37.5%
189,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestThreadImport,0.0%
190,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestLazyLoadMetadata,28.57%
191,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestStringToDatetimeParsing,66.67%
192,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.SHA224Password,0.0%
193,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestBuildInstanceMetadataURL,0.0%
194,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.HMACPassword,0.0%
195,D:\thesis2\9 project\boto\boto\tests\unit\utils\test_utils.py,test_utils.TestPassword,0.0%
196,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_customergateway.py,test_customergateway.TestDeleteCustomerGateway,25.0%
197,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_customergateway.py,test_customergateway.TestDescribeCustomerGateways,25.0%
198,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_customergateway.py,test_customergateway.TestCreateCustomerGateway,25.0%
199,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_dhcpoptions.py,test_dhcpoptions.TestDescribeDhcpOptions,25.0%
200,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_dhcpoptions.py,test_dhcpoptions.TestCreateDhcpOptions,25.0%
201,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_dhcpoptions.py,test_dhcpoptions.TestAssociateDhcpOptions,25.0%
202,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_dhcpoptions.py,test_dhcpoptions.TestDeleteDhcpOptions,25.0%
203,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_internetgateway.py,test_internetgateway.TestDetachInternetGateway,25.0%
204,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_internetgateway.py,test_internetgateway.TestCreateInternetGateway,25.0%
205,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_internetgateway.py,test_internetgateway.TestAttachInternetGateway,25.0%
206,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_internetgateway.py,test_internetgateway.TestDescribeInternetGateway,25.0%
207,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_internetgateway.py,test_internetgateway.TestDeleteInternetGateway,25.0%
208,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\pipe.py,pipe.LookupModule,100.0%
209,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestReplaceNetworkAclEntry,33.33%
210,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestGetNetworkAclAssociations,25.0%
211,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.DeleteCreateNetworkAcl,25.0%
212,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestDescribeNetworkAcls,25.0%
213,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestCreateNetworkAclEntry,33.33%
214,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestDeleteNetworkAclEntry,25.0%
215,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestCreateNetworkAcl,25.0%
216,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_networkacl.py,test_networkacl.TestReplaceNetworkAclAssociation,46.67%
217,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestCreateRoute,40.0%
218,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestDeleteRoute,25.0%
219,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestDescribeRouteTables,25.0%
220,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestReplaceRoute,40.0%
221,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestDeleteRouteTable,25.0%
222,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestDisassociateRouteTable,25.0%
223,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestAssociateRouteTable,25.0%
224,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestCreateRouteTable,25.0%
225,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_routetable.py,test_routetable.TestReplaceRouteTableAssociation,33.33%
226,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_subnet.py,test_subnet.TestDescribeSubnets,25.0%
227,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_subnet.py,test_subnet.TestDeleteSubnet,25.0%
228,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_subnet.py,test_subnet.TestCreateSubnet,25.0%
229,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_vpc.py,test_vpc.TestUpdateClassicLinkVpc,50.0%
230,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_vpc.py,test_vpc.TestModifyVpcAttribute,33.33%
231,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_vpc.py,test_vpc.TestDetachClassicLinkVpc,50.0%
232,D:\thesis2\9 project\boto\boto\tests\unit\vpc\test_vpc.py,test_vpc.TestEnableClassicLinkVpc,50.0%
